label_a,label_b,edge_pixel_adjacency_count,fraction_of_adjacencies,run_id,scene,preset
partial_occluder,solid_surface,102,0.3119266055045872,1,demo,beam_return_debug
solid_surface,solid_surface,69,0.21100917431192662,1,demo,beam_return_debug
optical_only,solid_surface,55,0.16819571865443425,1,demo,beam_return_debug
optical_only,partial_occluder,31,0.09480122324159021,1,demo,beam_return_debug
hard_smooth,solid_surface,17,0.05198776758409786,1,demo,beam_return_debug
partial_occluder,partial_occluder,15,0.045871559633027525,1,demo,beam_return_debug
foliage,solid_surface,9,0.027522935779816515,1,demo,beam_return_debug
foliage,partial_occluder,8,0.024464831804281346,1,demo,beam_return_debug
acoustic_only,foliage,6,0.01834862385321101,1,demo,beam_return_debug
hard_smooth,partial_occluder,3,0.009174311926605505,1,demo,beam_return_debug
hard_smooth,optical_only,2,0.0061162079510703364,1,demo,beam_return_debug
foliage,foliage,2,0.0061162079510703364,1,demo,beam_return_debug
hard_smooth,hard_smooth,2,0.0061162079510703364,1,demo,beam_return_debug
acoustic_only,solid_surface,2,0.0061162079510703364,1,demo,beam_return_debug
optical_only,optical_only,2,0.0061162079510703364,1,demo,beam_return_debug
acoustic_only,partial_occluder,1,0.0030581039755351682,1,demo,beam_return_debug
foliage,hard_smooth,1,0.0030581039755351682,1,demo,beam_return_debug
partial_occluder,solid_surface,153,0.37777777777777777,2,occluder_gate,beam_return_debug
partial_occluder,partial_occluder,55,0.13580246913580246,2,occluder_gate,beam_return_debug
solid_surface,solid_surface,52,0.12839506172839507,2,occluder_gate,beam_return_debug
optical_only,partial_occluder,33,0.08148148148148149,2,occluder_gate,beam_return_debug
foliage,solid_surface,29,0.07160493827160494,2,occluder_gate,beam_return_debug
optical_only,solid_surface,28,0.0691358024691358,2,occluder_gate,beam_return_debug
foliage,partial_occluder,26,0.06419753086419754,2,occluder_gate,beam_return_debug
acoustic_only,solid_surface,9,0.022222222222222223,2,occluder_gate,beam_return_debug
acoustic_only,partial_occluder,8,0.019753086419753086,2,occluder_gate,beam_return_debug
optical_only,optical_only,7,0.01728395061728395,2,occluder_gate,beam_return_debug
acoustic_only,foliage,5,0.012345679012345678,2,occluder_gate,beam_return_debug
