piece_type,pixel_count,acoustic_intensity_mean,acoustic_intensity_p50,acoustic_intensity_p90,ultrasonic_intensity_mean,ultrasonic_intensity_p50,ultrasonic_intensity_p90,acoustic_texture_mean,acoustic_texture_p50,acoustic_texture_p90,acoustic_softness_mean,acoustic_softness_p50,acoustic_softness_p90,polarization_mean,polarization_p50,polarization_p90,depth_variance_mean,depth_variance_p50,depth_variance_p90,light_coh_mean,light_coh_p50,light_coh_p90,light_anti_mean,light_anti_p50,light_anti_p90,sound_coh_mean,sound_coh_p50,sound_coh_p90,sound_anti_mean,sound_anti_p50,sound_anti_p90,run_id,scene,preset
canopy,254,0.08076460259471858,0.06308160723086065,0.07627296683239317,0.04269736276625635,0.02365560271157274,0.028602362562147435,0.7137610220238656,0.7272727272727273,0.7272727272727273,0.5380672398284622,0.5387926071993587,0.546009545707344,0.07262474306940357,0.06308160723086065,0.07627296683239317,0.3549072848659672,0.0,0.035869134468235586,0.8679728260198579,0.9999999999999999,1.0,0.8624386996805491,1.0,1.0,0.8850840455854312,0.9999999999999999,1.0,0.8799331545202218,0.9999999999999999,1.0,1,demo,beam_return_debug
chimney,10,0.617788174364241,0.6274509204460674,0.6933096634266606,0.7104564005188772,0.7215685585129775,0.7973061129406597,0.4651162790697674,0.46511627906976744,0.4651162790697675,0.4073317738453638,0.4058823619330899,0.42039270862248523,0.5019528916709459,0.5098038728624298,0.5633141015341617,0.024929631850744725,0.0010145807534200912,0.026857318030383142,0.8679517340481484,0.9373214562749608,1.0,0.8355169626488929,0.8936401100829381,1.0,0.8679517340481484,0.9373214562749608,1.0,0.8355169626488929,0.893640110082938,1.0,1,demo,beam_return_debug
ground,4367,0.4664053291844074,0.46809299323363207,0.5355838181863016,0.38858699275473724,0.3899009201545466,0.4459357510709661,0.5455020927355526,0.5454545454545454,0.5454545454545455,0.5778183364296702,0.5780093391618553,0.589333320277578,0.19436441256523532,0.19502334790463813,0.22318215449271372,0.056622497952956166,0.0005650589322350186,0.04210320532499455,0.7554448068452883,0.9249587934483671,1.0,0.6066252493444764,0.6146926016089559,1.0,0.7555039323929599,0.9249587934483668,1.0,0.6066830831258838,0.6146926016089557,1.0,1,demo,beam_return_debug
leg,5,0.6909523620502271,0.6938702895270973,0.7556010383581655,0.5540094390142382,0.5755709117293377,0.6083851375610819,0.5553279240612968,0.5666666666666667,0.5666666666666667,0.636942923035989,0.6632635975357876,0.6777884796136859,0.3068714607442774,0.3099227986234895,0.3532680548196455,0.0018403494398853582,0.0008577675614276359,0.004196640297988097,0.787466659166227,0.8705786302012115,1.0,0.7748512155505937,0.794243819609619,1.0,0.7862504184543802,0.8705786302012112,0.9999999999999999,0.7738915305458003,0.7942438196096187,1.0,1,demo,beam_return_debug
log,262,0.6539691893321724,0.656281299105405,0.7401417814860909,0.5022013260764793,0.5035184403713022,0.5717615722670575,0.5657128637734666,0.5666666666666667,0.5666666666666667,0.6517678632556932,0.6540369387196805,0.6741510074084921,0.27150187001283255,0.2711253140460858,0.30821600857000025,0.2524646955276148,0.0012706951226704177,0.011570893889108909,0.7241939874942269,0.8397099348153243,1.0,0.7121343300064352,0.7933953009895308,1.0,0.7245724717667387,0.8397099348153241,1.0,0.712609464160329,0.7933953009895307,1.0,1,demo,beam_return_debug
post,34,0.6486187620228003,0.648229394355112,0.7545302314537667,0.4981158339933665,0.49570483097743856,0.5769937064058217,0.5654802894116174,0.5666666666666667,0.5666666666666668,0.6505029280294338,0.6525245633776734,0.677536525047945,0.26820296446667513,0.26975520807008735,0.3106889188339039,0.6228799503756878,0.0,2.122432795778013,0.9440917144447504,0.9999999999999998,1.0,0.9143558913565093,0.9999999999999999,1.0,0.9481899170426141,0.9999999999999998,1.0,0.917384471368188,0.9999999999999998,1.0,1,demo,beam_return_debug
rock,8,0.5527710351060386,0.554740986744237,0.5846579881485343,0.6099601156696145,0.6070421753091579,0.6626123865683388,0.4757807903605882,0.46875,0.4893965232056724,0.4428109194364242,0.42858327349304026,0.47592739334843603,0.3879342725095752,0.3927919957882787,0.4287491913089252,0.022044996156743935,0.00017855002261057962,0.05640681965336111,0.8578390435494654,0.9744222943322828,1.0,0.8093378151556974,0.9036078162587717,1.0,0.8664449793139715,0.9731263696540214,1.0,0.8181437136166316,0.9025763626944375,1.0,1,demo,beam_return_debug
roof,137,0.6202597245108907,0.6300886308041118,0.7146502537296437,0.7107323493354345,0.7184829921041551,0.8218477917890904,0.4660962997218969,0.46511627906976744,0.4651162790697675,0.40952737517545623,0.4062848271168493,0.42471761835747557,0.5016036276519383,0.5076238531170661,0.5806533311553356,0.14849529480582707,0.0033510106462699696,0.04392812091184057,0.6044447280913137,0.7478036643758862,1.0,0.5937673495277972,0.7006356515130738,1.0,0.6033033853320522,0.7478036643758859,1.0,0.5929131318610634,0.7006356515130738,1.0,1,demo,beam_return_debug
torso,8,0.6519412295124236,0.6533443508420498,0.7674471145468519,0.49854329315655926,0.49961626829097927,0.5868713228887692,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.6533979363558643,0.6537280825510705,0.6805757916580827,0.26844638862276266,0.2690241444643735,0.3160076354016449,0.0004225790692160558,5.004382795448237e-05,0.0015833205154336838,0.9366150135193565,0.9918456243274627,1.0,0.8679508296575854,0.9554635650912453,1.0,0.9366150135193567,0.9918456243274629,1.0,0.8679508296575855,0.9554635650912455,1.0,1,demo,beam_return_debug
trunk,57,0.6479450189063438,0.6552184357938432,0.7390039570134053,0.49584622195635075,0.5010493920776448,0.5651206730102512,0.5664675671707992,0.5666666666666667,0.5666666666666667,0.6520987969499931,0.6541690437161984,0.6738832840031541,0.2670224423638988,0.26979582650334716,0.3042957470055198,0.011413091411743119,1.5620259759430155e-05,0.002327362470055047,0.9271576584957598,0.9975496388298881,1.0,0.8853462330306144,0.9227810768657352,1.0,0.9309005324747911,0.9975496388298878,1.0,0.8892039238018112,0.922781076865735,1.0,1,demo,beam_return_debug
