piece_type,pixel_count,valid_pixel_count,ignored_pixel_count,expected_label,expected_label_frac,top_label,top_label_frac,report_suffix,sky_frac,solid_surface_frac,geom_edge_frac,foliage_frac,partial_occluder_frac,acoustic_only_frac,optical_only_frac,hard_smooth_frac,soft_material_frac,wood_material_frac,metal_or_glass_frac,stone_hard_frac,uncertain_frac,fill_edge_pixels,fill_filled_pixels,fill_kept_edge_pixels,fill_fill_rate,fill_filled_as_foliage,fill_filled_as_hard_smooth,fill_filled_as_optical_only,fill_filled_as_partial_occluder,fill_filled_as_solid_surface,run_id,scene,preset
canopy,254,254,0,foliage,0.9094488188976378,foliage,0.9094488188976378,filled_geom_edge,0.0,0.003937007874015748,0.01968503937007874,0.9094488188976378,0.011811023622047244,0.011811023622047244,0.0,0.0,0.0,0.0,0.0,0.0,0.04330708661417323,249,161,88,0.6465863453815262,8,2,3,25,123,1,demo,beam_return_debug
chimney,10,10,0,,,solid_surface,0.5,filled_geom_edge,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,249,161,88,0.6465863453815262,8,2,3,25,123,1,demo,beam_return_debug
ground,4367,4367,0,,,uncertain,0.43073047858942065,filled_geom_edge,0.0,0.4279825967483398,0.014884359972521181,0.0,0.049690863292878404,0.0,0.07671170139683993,0.0,0.0,0.0,0.0,0.0,0.43073047858942065,249,161,88,0.6465863453815262,8,2,3,25,123,1,demo,beam_return_debug
leg,5,5,0,,,solid_surface,1.0,filled_geom_edge,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249,161,88,0.6465863453815262,8,2,3,25,123,1,demo,beam_return_debug
log,262,262,0,,,solid_surface,0.8816793893129771,filled_geom_edge,0.0,0.8816793893129771,0.0,0.0,0.019083969465648856,0.0,0.03435114503816794,0.0,0.0,0.0,0.0,0.0,0.0648854961832061,249,161,88,0.6465863453815262,8,2,3,25,123,1,demo,beam_return_debug
post,34,34,0,,,solid_surface,0.7352941176470589,filled_geom_edge,0.0,0.7352941176470589,0.08823529411764706,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249,161,88,0.6465863453815262,8,2,3,25,123,1,demo,beam_return_debug
rock,8,8,0,,,solid_surface,0.875,filled_geom_edge,0.0,0.875,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249,161,88,0.6465863453815262,8,2,3,25,123,1,demo,beam_return_debug
roof,137,137,0,,,solid_surface,0.48905109489051096,filled_geom_edge,0.0,0.48905109489051096,0.051094890510948905,0.014598540145985401,0.051094890510948905,0.0,0.021897810218978103,0.18248175182481752,0.0,0.0,0.0,0.0,0.1897810218978102,249,161,88,0.6465863453815262,8,2,3,25,123,1,demo,beam_return_debug
torso,8,8,0,,,solid_surface,1.0,filled_geom_edge,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249,161,88,0.6465863453815262,8,2,3,25,123,1,demo,beam_return_debug
trunk,57,57,0,,,solid_surface,0.8245614035087719,filled_geom_edge,0.0,0.8245614035087719,0.07017543859649122,0.05263157894736842,0.03508771929824561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,249,161,88,0.6465863453815262,8,2,3,25,123,1,demo,beam_return_debug
foliage,120,120,0,foliage,0.6666666666666666,foliage,0.6666666666666666,filled_geom_edge,0.0,0.025,0.175,0.6666666666666666,0.1,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317,187,130,0.5899053627760252,2,,11,78,96,2,occluder_gate,beam_return_debug
ground,4915,4915,0,,,uncertain,0.4665310274669379,filled_geom_edge,0.0,0.44109867751780263,0.02014242115971516,0.0,0.04923702950152594,0.0,0.02299084435401831,0.0,0.0,0.0,0.0,0.0,0.4665310274669379,317,187,130,0.5899053627760252,2,,11,78,96,2,occluder_gate,beam_return_debug
stone,145,145,0,stone_hard,0.0,solid_surface,0.8482758620689655,filled_geom_edge,0.0,0.8482758620689655,0.05517241379310345,0.0,0.08275862068965517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013793103448275862,317,187,130,0.5899053627760252,2,,11,78,96,2,occluder_gate,beam_return_debug
wood,70,70,0,wood_material,0.0,solid_surface,0.7857142857142857,filled_geom_edge,0.0,0.7857142857142857,0.02857142857142857,0.02857142857142857,0.11428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,317,187,130,0.5899053627760252,2,,11,78,96,2,occluder_gate,beam_return_debug
